,template
0,Here is the information you requested: [data].
1,I found the following data: [data].
2,Your query returned the following information: [data].
3,Here are the results: [data].
4,The data you asked for is: [data].
5,I've gathered the requested information: [data].
6,Below is the information you needed: [data].
7,The following data was retrieved: [data].
8,I've got the data ready for you: [data].
9,Here's what I found: [data].
10,The information you requested is: [data].
11,I located the data you asked for: [data].
12,The query produced this data: [data].
13,The results are as follows: [data].
14,I've obtained the following data: [data].
15,Here's the data: [data].
16,The requested data is: [data].
17,Here's what I found: [data].
18,I've got the results ready: [data].
19,I found this information: [data].
20,I located the requested data: [data].
21,The query produced the following data: [data].
22,The data is ready: [data].
23,Here's the data you asked for: [data].
24,I found this data: [data].
25,Your query produced the following results: [data].
26,The information retrieved is: [data].
27,I've gathered this data: [data].
28,Here's what I retrieved: [data].
29,The information is as follows: [data].
30,Here are the details: [data].
31,The data you need is: [data].
32,I found the data: [data].
33,Your query returned this data: [data].
34,Here is the requested information: [data].
35,I've got the following data ready: [data].
36,Below is the information: [data].
37,The data retrieved is as follows: [data].
38,I've located the data: [data].
39,The query returned the following data: [data].
40,The results are ready: [data].
41,Here's what I have: [data].
42,The requested data is as follows: [data].
43,I've got the information you need: [data].
44,Here's the data retrieved: [data].
45,The data is the following: [data].
46,The following data is ready: [data].
47,Here's what I've found: [data].
48,The information you need is: [data].
49,I located this data: [data].
50,Your query produced this information: [data].
51,The requested results are: [data].
52,Here is the data you need: [data].
53,I found this information: [data].
54,Your query returned the following information: [data].
55,Here's the requested information: [data].
56,The data retrieved is ready: [data].
57,I've gathered the following information: [data].
58,Below is the requested data: [data].
59,The data is as follows: [data].
60,I've got the data you requested: [data].
61,The following information was retrieved: [data].
62,Here's what I've got: [data].
63,The information is the following: [data].
64,Here are the results you requested: [data].
65,The data you asked for: [data].
66,I found the following data: [data].
67,Your query returned the following results: [data].
68,Here is the information retrieved: [data].
69,I've gathered this information: [data].
70,Here's what I retrieved: [data].
71,The information is as follows: [data].
72,Here are the details you requested: [data].
73,The data you need is as follows: [data].
74,I found the data as follows: [data].
75,Your query returned the following data: [data].
76,Here is the requested data: [data].
77,I've got the following information ready: [data].
78,Below is the data retrieved: [data].
79,The data retrieved is as follows: [data].
80,I've located the requested data: [data].
81,The query returned this data: [data].
82,The results are the following: [data].
83,Here's what I have for you: [data].
84,The requested data is ready: [data].
85,I've got the following data for you: [data].
86,Here's the information you asked for: [data].
87,The data is ready as follows: [data].
88,The following data is ready for you: [data].
89,Here's what I've found for you: [data].
90,The information you need is as follows: [data].
91,I located this data for you: [data].
92,Your query produced this information: [data].
93,Here are the requested results: [data].
94,Here is the data you need: [data].
95,I found this information for you: [data].
96,Your query returned this information: [data].
97,Here's the requested information for you: [data].
98,The data retrieved is ready as follows: [data].
99,I've gathered the following information for you: [data].
100,Below is the requested data for you: [data].
101,The data is as follows for you: [data].
102,I've got the data you requested for you: [data].
103,The following information was retrieved for you: [data].
104,Here's what I've got for you: [data].
105,The information is the following for you: [data].
106,Here are the results you requested for you: [data].
107,The data you asked for is ready for you: [data].
108,I found the following data for you: [data].
